id,dimension,num_heads,mlp_ratio,layer_norm_type,positional_embeddings,attention_variant,biases,block_type,activation,sequence_length,batch_instances,batch_tokens,weight_tying,is_instruction_tuned,is_preference_tuned,total_params
mosaicml/mpt-30b,7168,64,,,alibi,full,none,,relu,8192,,,false,false,false,30000000000
EleutherAI/pythia-1b-deduped,2048,8,4.0,,,,,,gelu,2048,,,false,,,1078891008
Salesforce/codegen-350M-mono,1024,16,,,rope,full,,parallel,,2048,250,,false,false,false,350000000
EleutherAI/gpt-neox-20b,6144,64,4.0,,rope,full,,parallel,gelu_fast,2048,1538,,false,false,false,20739117584
LLM360/Amber,4096,32,2.6875,rmsnorm,rope,full,,sequential,silu,2048,,,false,false,false,6738415616
EleutherAI/pythia-1.4b,2048,16,4.0,,,,,,gelu,2048,,,false,false,false,1515311488
EleutherAI/pythia-6.9b-deduped,4096,32,4.0,,,,,,gelu,2048,,,false,false,false,6900000000
jb723/cross_lingual_epoch2,4096,32,2.6875,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1024,,false,true,false,
mistralai/Mixtral-8x7B-v0.1,4096,32,3.5,rmsnorm,rope,gqa,,,swiglu,32768,,,false,false,false,46702792704
Salesforce/codegen-6B-mono,4096,16,,,,,,,,2048,,,false,false,false,6000000000
Salesforce/codegen-6B-multi,4096,16,,,,,,,,2048,,,false,false,false,6000000000
Salesforce/codegen25-7b-instruct_P,4096,32,2.6875,,,,,,silu,2048,,,false,true,false,
IEITYuan/Yuan2-51B-hf,8192,64,4.0,,,,,,silu,4096,,,false,true,false,
EleutherAI/pythia-70m,512,8,4.0,,,,,,gelu,2048,,,false,,,95592496
meta-llama/Meta-Llama-3-70B,8192,64,3.5,rmsnorm,rope,gqa,none,sequential,swiglu,8192,,,false,false,false,70553706496
mosaicml/mpt-30b-instruct,7168,64,,,alibi,full,none,,relu,8192,,,false,true,false,30000000000
bigscience/bloom-1b7,2048,16,,,,,,,,2048,,,false,false,false,1722408960
EleutherAI/gpt-neo-125m,768,12,,,,"local,full",,sequential,gelu_new,2048,,,false,false,false,150364416
EleutherAI/pythia-160m,768,12,4.0,,,,,,gelu,2048,,,false,,,212654688
jisukim8873/falcon-7B-case-0,4544,71,4.0,parametric,rope,mqa,ln_only,parallel,gelu,2048,2304,,false,true,false,6921720704
EleutherAI/pythia-160m-deduped,768,12,4.0,,,,,,gelu,2048,,,false,,,212654688
Salesforce/codegen-350M-multi,1024,16,,,rope,full,,parallel,,2048,250,,false,false,false,350000000
meta-llama/Meta-Llama-3-8B,4096,32,3.5,rmsnorm,rope,gqa,none,sequential,swiglu,8192,,,false,false,false,8030261248
kevin009/babyllama-v0.6,2048,32,2.75,rmsnorm,rope,gqa,none,sequential,swiglu,2048,1024,,false,,,1100048384
Salesforce/codegen-6B-nl,4096,16,,,rope,full,,parallel,gelu_new,2048,1000,,false,false,false,6000000000
EleutherAI/pythia-14m,128,4,4.0,,,,,,gelu,2048,,,false,,,39233560
facebook/xglm-7.5B,4096,32,4.0,,,,,sequential,gelu,2048,2000,,false,false,false,7500000000
Salesforce/codegen-350M-nl,1024,16,,,rope,full,,parallel,gelu_new,2048,250,,false,false,false,350000000
CohereForAI/c4ai-command-r-v01,8192,64,2.75,,rope,,,,silu,131072,,,true,true,true,34980831232
LLM360/CrystalCoder,4096,32,2.666503906,parametric,rope,full,,sequential,swiglu,2048,,,false,false,false,6575278720
EleutherAI/pythia-410m,1024,16,4.0,,,,,,gelu,2048,,,false,,,505997504
Deci/DeciCoder-1b,2048,32,2.875,,rope,gqa,,,silu,2048,768,,false,false,false,1113671680
cerebras/Cerebras-GPT-13B,5120,40,4.0,,learned,,,,,2048,720,,false,false,false,13000000000
meta-llama/Llama-2-7b,4096,32,2.6875,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1024,,false,false,false,
bigscience/bloom-7b1,4096,32,,,,,,,,2048,,,false,,,7069016064
Dampish/StellarX-4B-V0,2560,32,4.0,,rope,,,,gelu,2048,,,false,false,false,4000000000
meta-llama/Llama-2-70b-hf,8192,64,3.5,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1024,,false,false,false,68976653312
jb723/LLaMA2-en-ko-7B-model,4096,32,2.6875,rmsnorm,rope,gqa,none,sequential,swiglu,4096,1024,,false,true,false,
TinyLlama/TinyLlama-1.1B-Chat-v1.0,2048,32,2.75,rmsnorm,rope,gqa,none,sequential,swiglu,2048,,,false,true,true,1100048384
EleutherAI/pythia-12b,5120,40,4.0,,,,,,gelu,2048,,,false,,,12000000000
NinedayWang/PolyCoder-2.7B,2560,32,4.0,,rope,full,,sequential,gelu,2048,128,,false,false,false,2700000000
EleutherAI/pythia-1.4b-deduped,2048,16,4.0,,,,,,gelu,2048,,,false,,,1400000000
EleutherAI/gpt-neo-2.7B,2560,20,,,,"local,full",,sequential,gelu_new,2048,,,false,false,false,2718416384
EleutherAI/pythia-6.9b,4096,32,2.666667,,rotary,,,,gelu,2048,1024,,false,false,false,6857302106
openlm-research/open_llama_3b_v2,3200,32,2.7,,,,,,silu,2048,,,false,false,false,3000000000
Qwen/Qwen-7B,4096,32,5.375,,rotary,,none,,,8192,,,false,false,false,7721324544
facebook/xglm-564M,1024,16,4.0,,,,,sequential,gelu,2048,2000,,false,false,false,564000000
EleutherAI/gpt-j-6b,4096,16,4.0,,rope,full,,sequential,gelu_new,2048,,,false,false,false,6053381344
cerebras/btlm-3b-8k-base,2560,32,2.66640625,,alibi,,,,swiglu,2000,,,false,false,false,3000000000
stabilityai/japanese-stablelm-base-alpha-7b,4096,32,,,rope,,,,silu,2048,,,false,false,false,7000000000
openlm-research/open_llama_7b,4096,32,2.666667,parametric,rope,full,ln_only,sequential,swiglu,2048,2048,,false,false,false,7000000000
Deci/DeciCoder-6B,4096,32,2.6875,,rope,gqa,,,silu,2048,,,false,,,5866000384
aisingapore/sea-lion-7b-instruct,,,,,,,,,,,,,false,true,false,7501651968
Salesforce/codegen-16B-mono,,,,,,,,,,,,,false,false,false,16000000000
Salesforce/codegen-2B-mono,2560,32,,,rope,full,,parallel,,2048,500,,false,false,false,2000000000
CohereForAI/c4ai-command-r-plus,12288,96,2.75,,rope,,,,silu,128000,,,false,true,true,103810674688
EleutherAI/gpt-neo-1.3B,2048,16,,,,"local,full",,sequential,gelu_new,2048,,,false,false,false,1365907456
EleutherAI/pythia-12b-deduped,5120,40,4.0,,,,,,gelu,2048,,,false,false,false,12000000000
rinna/bilingual-gpt-neox-4b,2816,22,4.0,,rope,,,,gelu,2048,,,false,false,false,3947117312
facebook/opt-125m,768,12,4.0,,,,,sequential,relu,2048,250,,false,false,false,125000000
Salesforce/codegen25-7b-mono_P,4096,32,2.6875,,,,,,silu,2048,,,false,false,false,
facebook/xglm-2.9B,2048,16,4.0,,,,,sequential,gelu,2048,2000,,false,false,false,2900000000
EleutherAI/pythia-2.8b,2560,32,4.0,,,,,,gelu,2048,,,false,,,2909427008
allenai/tulu-2-70b,8192,64,3.5,,,,,,silu,8192,,,false,,,
facebook/opt-2.7b,2560,32,4.0,,,,,sequential,relu,2048,500,,false,false,false,2700000000
facebook/opt-6.7b,4096,32,4.0,,,,,sequential,relu,2048,500,,false,false,false,6700000000
HuggingFaceTB/SmolLM-1.7B,2048,32,4.0,rmsnorm,rope,grouped_query,none,sequential,silu,2048,,,true,false,false,1711376384
HuggingFaceTB/SmolLM-360M,960,15,2.666666667,rmsnorm,rope,grouped_query,none,sequential,silu,2048,,,true,false,false,360000000
HuggingFaceTB/SmolLM-135M,576,9,2.666666667,rmsnorm,rope,grouped_query,none,sequential,silu,2048,,,true,false,false,135000000
microsoft/phi-1_5,2048,32,4.0,layernorm,rope,vanilla,some,sequential,gelu_new,2048,,,false,false,false,1300000000
microsoft/phi-2,2560,32,4.0,layernorm,rope,vanilla,some,sequential,gelu_new,2048,,,false,false,false,1389841920
google/gemma-7b,,,,,,,,,,,,,,false,false,7000000000
google/gemma-2-2b,,,,,,,,,,,,,,false,false,2000000000
google/gemma-2-9b,,,,,,,,,,,,,,false,false,9000000000
Qwen/Qwen2.5-72B,8192,64,3.609375,rmsnorm,rope,grouped_query,attn_only,sequential,silu,131072,,,false,false,false,36353101824
Qwen/Qwen2.5-32B,5120,40,5.4,rmsnorm,rope,grouped_query,attn_only,sequential,silu,131072,,,false,false,false,16381938176
Qwen/Qwen2.5-14B,5120,40,2.7,rmsnorm,rope,grouped_query,attn_only,sequential,silu,131072,,,false,false,false,7385016832
Qwen/Qwen2.5-3B,2048,16,5.375,rmsnorm,rope,grouped_query,attn_only,sequential,silu,32768,,,true,false,false,1542969344
Qwen/Qwen2-72B,8192,64,3.609375,rmsnorm,rope,grouped_query,attn_only,sequential,silu,131072,,,false,false,false,36353101824
Qwen/Qwen1.5-110B,8192,64,6.0,rmsnorm,rope,grouped_query,attn_only,sequential,silu,32768,,,false,false,false,55604957184
Qwen/Qwen1.5-32B,5120,40,5.35,rmsnorm,rope,grouped_query,attn_only,sequential,silu,32768,,,false,false,false,16256109056
Qwen/Qwen1.5-14B,5120,40,2.675,rmsnorm,rope,vanilla,attn_only,sequential,silu,32768,,,false,false,false,7083645440
meta-llama/Meta-Llama-3.1-70B,8192,64,3.5,rmsnorm,rope,grouped_query,none,sequential,silu,131072,,,false,false,false,70000000000
01-ai/Yi-34B-200K,7168,56,2.857142857,rmsnorm,rope,grouped_query,some,sequential,silu,200000,,,false,false,false,17194460544
01-ai/Yi-34B,7168,56,2.857142857,rmsnorm,rope,grouped_query,some,sequential,silu,4096,,,false,false,false,17194458624
01-ai/Yi-9B,4096,32,2.6875,rmsnorm,rope,grouped_query,none,sequential,silu,4096,,,false,false,false,4414703616
